OTU;Domain;Phylum;Class;Order;Family;Genus;Species
EU513600.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_perillae
HQ643757.2;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_rhizo-oryzae
HQ643373.2;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Phytopythium;s__Phytopythium_carbonicum
KP330778.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_litoralis
AY198240.3;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_violae
HQ643671.2;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_kashmirense
MF784742.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_stellariae-aquaticae
HQ643137.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Leptolegnia;s__Leptolegnia_caudata
MN450322.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_teucrii
EF614956.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_chenopodii-polyspermi
KT249109.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Bremia;s__Bremia_microspora
HQ643443.2;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_apiculatum
MH730803.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_hiemalis
MN784447.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_viciae
HQ643727.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_pachycaule
GU189410.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora;s__Hyaloperonospora_drabae
KT795474.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_alchemillae
AY198301.3;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_sherardiae
KY986679.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_erucastri
MH730802.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_arborescens
MH730809.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_meconopsidis
KT795473.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_potentillae-sterilis
MW599273.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_eranthidis
MG865548.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_nemorosa
MG865591.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_tentaculata
AY198306.3;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Pseudoperonospora;s__Pseudoperonospora_cubensis
HQ643417.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_aff._diclinum
MT734672.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_lathyrina
HQ643682.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_lutarium
AY198300.3;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_aparines
AY211016.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_corydalis
MG783381.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_bishii
MW599272.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_myosuri
MH730808.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_illyrica
MT554398.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_aquilegiicola
MH730817.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_chrysosplenii
MG542997.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_cacuminis
MH023352.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_torulosum
HQ643442.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_aphanidermatum
MG865534.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_megakarya
MT707332.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_alpina
MH730806.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_ranunculi-sardoi
JQ031190.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_stigmaticola
MG865576.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_psychrophila
DQ885385.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_destructor
MG865509.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_idaei
KT249036.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Bremia;s__Bremia_lapsanae
MT762301.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_emzansi
MG865589.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_stricta
MT210484.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_aquae-cooljarloo
HQ643854.2;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_takayamanum
AY608611.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_trigonotidis
MG865578.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_quercina
KP330797.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_schachtii
MG865574.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_pseudosyringae
KP330833.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_obovata
KT795477.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_sanguisorbae
MK496519.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_humicola
KP330785.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_atriplicis-hastatae
MG518642.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_acerina
MN450325.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_lamii
MT177228.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_tracheiphilum
AY198293.3;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_valerianellae
KC529657.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_pluvialis
MG865523.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_lilii
MG865568.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_plurivora
MG865583.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_riparia
MG865593.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_thermophila
MT734673.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_chenopodii-ambrosioidis
HQ643111.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Albuginales;f__Albuginaceae;g__Albugo;s__Albugo_candida
MG865522.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_lateralis
MG865475.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_citricola
MH730799.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_cyparissiae
KP330814.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_rumicis
MF784744.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_alsinearum
MF784749.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_pseudostellariae
MG865527.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_macilentosa
MF784739.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_stellariae-uliginosae
HQ643419.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_aff._dictyosporum
MG865511.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_ilicis
MH730804.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_ficariae
MN385741.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_cathayensis
KT795476.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_potentillae-reptantis
JQ031187.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_jagei
MH730801.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_argemones
MG865588.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_sojae
AY608609.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_campestris
MG793197.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_effusa
HQ643956.2;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_viniferum
MH023389.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_ultimum
KP330842.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_lepigoni
KP330782.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_minor
MG865489.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_fallax
MK282209.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_aleatoria
MG865581.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_ramorum
MG865525.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_litchii
MG865558.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_pachypleura
MG783380.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_austrocedri
GQ244428.2;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_emineosum
MH730805.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_ranunculi
MG783385.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_cactorum
HM004513.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Plasmopara;s__Plasmopara_nivea
MG865518.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_ipomoeae
MG865541.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_mirabilis
MG865559.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_palmivora
MH730810.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_pulveracea
DQ874346.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_sparsa
MN557838.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_aysenensis
MH730811.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_alpicola
MN450331.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_salviae-officinalis
MG865596.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_tropicalis
MG865485.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_elongata
KJ372262.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_condilina
KP330800.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_polycarpi
MG865519.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_iranica
AY608608.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_astragalina
MT074263.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_theobromicola
MK524757.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Bremia;s__Bremia_lactucae
MG865481.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_crassamura
MF036182.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_castanetorum
EU049205.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora;s__Hyaloperonospora_parasitica
KJ372258.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_balyanboodja
MG865506.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_hibernalis
DQ665672.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_tabacina
EU583793.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_honggalleglyana
MG865483.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_cryptogea
KR632862.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_urerae
MG865575.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_pseudotsugae
MG865546.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_multivora
MG865504.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_hedraiandra
KX247599.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_alticola
HQ643444.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_apleroticum
JQ031179.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_violacea
MH730800.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_esulae
MG865476.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_citrophthora
HQ643712.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Phytopythium;s__Phytopythium_oedochilum
MG865479.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_colocasiae
MG865544.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_multivesiculata
MZ753914.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_infestans
MG865470.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_castaneae
HQ643363.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_tabaci
MK496516.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_botryosa
MG865564.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_phaseoli
KJ631538.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_caryae
KY982930.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_oleae
MG865520.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_irrigata
MG865478.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_cocois
KT886034.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_estuarina
EU925376.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_rosacearum
MG865466.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_capensis
MG865569.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_porri
MG865573.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_pseudolactucae
MG865565.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_pini
MG865566.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_pinifolia
KC478761.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_dauci
HQ643699.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_monospermum
HQ643773.2;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Elongisporangium;s__Elongisporangium_senticosum
HQ643540.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_folliculosum
MG602692.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_agathidicida
HQ643690.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_marsipium
GU993896.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_inflata
KX011263.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_acaciivora
EU591713.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_farinosa
MG783373.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_amaranthi
MG865577.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_quercetorum
HQ643771.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_scleroteichum
KT795478.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_oblatispora
JQ031185.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_radii
MZ569854.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_marrasii
LC595781.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_asparagi
MG865556.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_ornamentata
MG865505.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_heveae
MG865598.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_vignae
MG865586.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_siskiyouensis
FJ217680.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_gemini
HQ013219.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_arenaria
MG865539.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_mengei
MG865516.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_inundata
HQ643692.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_mastophorum
HQ643755.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_pyrilobum
KC875838.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_mekongensis
MG865584.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_rubi
